,method,pre,after,avg,range,profit,sharp,mdd
0,shap&slope_close0_kr,35,1,3,"15,30",2.236201218,1.062933391,0.189117097
0,shap&slope_close0_kr,35,1,4,"15,30",2.481281251,1.128972222,0.188373104
0,shap&slope_close0_kr,35,1,5,"15,30",2.433504595,1.124632995,0.175561237
0,shap&slope_close0_kr,35,1,6,"15,30",2.519203938,1.138434642,0.182597708
0,shap&slope_close0_kr,40,1,3,"15,30",2.32883902,1.088296546,0.189117097
0,shap&slope_close0_kr,40,1,4,"15,30",2.409979177,1.111762838,0.188373104
0,shap&slope_close0_kr,40,1,5,"15,30",2.340395145,1.098935244,0.175561237
0,shap&slope_close0_kr,40,1,6,"15,30",2.384374862,1.106673858,0.181924431
0,shap&slope_hlc_kr,15,1,3,"15,30",1.789297627,0.941211955,0.187962948
0,shap&slope_hlc_kr,15,1,4,"15,30",1.727980636,0.921519654,0.17709805
0,shap&slope_hlc_kr,15,1,5,"15,30",1.878576605,0.968538868,0.18049488
0,shap&slope_hlc_kr,15,1,6,"15,30",1.79921233,0.942313162,0.183724352
0,shap&slope_hlc_kr,20,1,3,"15,30",1.713145217,0.922073145,0.204015135
0,shap&slope_hlc_kr,20,1,4,"15,30",1.56891474,0.880339569,0.205962944
0,shap&slope_hlc_kr,20,1,5,"15,30",1.783804719,0.945343497,0.196022211
0,shap&slope_hlc_kr,20,1,6,"15,30",1.745410598,0.932298782,0.184183348
0,shap&slope_hlc_kr,25,1,3,"15,30",2.03359979,1.019203565,0.208619024
0,shap&slope_hlc_kr,25,1,4,"15,30",2.334713313,1.097358647,0.190772343
0,shap&slope_hlc_kr,25,1,5,"15,30",2.166574734,1.055601788,0.209691494
0,shap&slope_hlc_kr,25,1,6,"15,30",2.099490921,1.032758643,0.20572497
0,shap&slope_hlc_kr,30,1,3,"15,30",2.342369546,1.104843338,0.187290238
0,shap&slope_hlc_kr,30,1,4,"15,30",2.171623427,1.061015824,0.20320595
0,shap&slope_hlc_kr,30,1,5,"15,30",2.050011371,1.024023893,0.206574477
0,shap&slope_hlc_kr,30,1,6,"15,30",2.113570038,1.03707053,0.196609302
0,shap&slope_hlc_kr,35,1,3,"15,30",2.127767456,1.053874647,0.202811541
0,shap&slope_hlc_kr,35,1,4,"15,30",2.56711147,1.157505032,0.199295826
0,shap&slope_hlc_kr,35,1,5,"15,30",2.447763961,1.130545762,0.19111301
0,shap&slope_hlc_kr,35,1,6,"15,30",2.470086175,1.129790222,0.179083265
0,shap&slope_hlc_kr,40,1,3,"15,30",1.980900935,1.004792313,0.220394983
0,shap&slope_hlc_kr,40,1,4,"15,30",2.353289279,1.101331071,0.211231196
0,shap&slope_hlc_kr,40,1,5,"15,30",2.26311065,1.079228362,0.187611307
0,shap&slope_hlc_kr,40,1,6,"15,30",2.243588326,1.074663977,0.176953384
